,file,augmentation
0,turn-taking-projects/candor_wav/491f9074-6f14-4ecd-a809-700599d28d82.wav,-1
1,turn-taking-projects/candor_wav/cb606019-e295-40eb-819e-a1707f3f215d.wav,-1
2,turn-taking-projects/candor_wav/541f83af-f1a7-4c30-be52-0c7d5108d110.wav,-1
3,turn-taking-projects/candor_wav/77c6ce1d-774d-4c6f-87c5-a1fcde333a4b.wav,-1
4,turn-taking-projects/candor_wav/bd4ad98c-7188-477a-bdaf-123eaa08b6f6.wav,-1
5,turn-taking-projects/candor_wav/bfa73b4c-5b45-4c17-9fe4-8b4f397654e6.wav,-1
6,turn-taking-projects/candor_wav/4652239e-2e52-4454-bc57-ac93467deae6.wav,-1
7,turn-taking-projects/candor_wav/ddbd8c9d-1dc5-45ae-b8e4-7a5d1e266748.wav,-1
8,turn-taking-projects/candor_wav/3231ee9a-483f-464c-b563-da35de30594c.wav,-1
9,turn-taking-projects/candor_wav/d565e7d1-2faa-49e9-bee6-a1b44d9e4712.wav,-1
10,turn-taking-projects/candor_wav/05c47f39-5d68-45d3-a760-45359a9e775b.wav,-1
11,turn-taking-projects/candor_wav/f888a1ee-43b5-49e2-809b-65187ee3e24e.wav,-1
12,turn-taking-projects/candor_wav/f6931905-7562-44a1-bb06-2513faa16b47.wav,-1
13,turn-taking-projects/candor_wav/fc8d4e0b-7fae-43d6-9dbe-8fd58ce65a78.wav,-1
14,turn-taking-projects/candor_wav/bef99f27-2394-4d47-a9af-035136a815df.wav,speech
15,turn-taking-projects/candor_wav/2d271d93-fc72-43ed-9e2f-18ff188d5875.wav,-1
16,turn-taking-projects/candor_wav/96a61e6b-71cb-4806-aa18-0833e8ba9761.wav,-1
17,turn-taking-projects/candor_wav/e0fef00d-2ae2-4c21-8205-8753fc580ec1.wav,-1
18,turn-taking-projects/candor_wav/0c9e034f-2fdc-4ba8-b104-1fe709f786f5.wav,music
19,turn-taking-projects/candor_wav/7463ac49-ae39-44f9-8a77-7d94ddf0a46a.wav,-1
20,turn-taking-projects/candor_wav/8fa48307-dc73-4a67-96ed-85b73cf8f8ea.wav,-1
21,turn-taking-projects/candor_wav/5b48dc51-b4ca-432e-b3d6-e3c1f61c58fa.wav,-1
22,turn-taking-projects/candor_wav/c6f68636-2c7c-4cd9-8de1-5a2cf7afd948.wav,-1
23,turn-taking-projects/candor_wav/4068e5ec-1e1a-42f1-979b-0dd423fa2c48.wav,music
24,turn-taking-projects/candor_wav/a16e426d-757b-44ea-bd45-1f04912427c5.wav,-1
25,turn-taking-projects/candor_wav/876dec66-b6e5-4b37-bd4c-201701303210.wav,-1
26,turn-taking-projects/candor_wav/8717c68b-129d-492f-b9d5-fde01d65b3dc.wav,-1
27,turn-taking-projects/candor_wav/18984e66-990e-4e54-b3f8-921fdbc351ff.wav,babble
28,turn-taking-projects/candor_wav/53679c37-1e27-44f2-b56b-1e7c150cd922.wav,-1
29,turn-taking-projects/candor_wav/4456c827-9147-4474-a330-53de8c96172a.wav,-1
30,turn-taking-projects/candor_wav/a373174c-cade-4c7f-a3d6-7309f225f37d.wav,-1
31,turn-taking-projects/candor_wav/ea2e7bd7-cd72-4270-b179-63258b4a07f6.wav,speech
32,turn-taking-projects/candor_wav/010a1b2a-7b69-4245-807f-d94eb6aa165c.wav,music
33,turn-taking-projects/candor_wav/b7fae6d8-8246-45ef-a497-c6555e8c10bf.wav,-1
34,turn-taking-projects/candor_wav/a3293cfe-7a64-4015-b2f9-f678fc7b5c27.wav,-1
35,turn-taking-projects/candor_wav/2f65f772-5329-4e5a-a7a2-3df21fb73933.wav,-1
36,turn-taking-projects/candor_wav/2d86a7ed-c970-47ef-80b2-c87393ef4734.wav,-1
37,turn-taking-projects/candor_wav/b56b61b8-f647-4937-be0b-e5f0ff776d5f.wav,-1
38,turn-taking-projects/candor_wav/ca4f73f8-1202-4d0c-b238-795b63f22f6c.wav,-1
39,turn-taking-projects/candor_wav/01849238-f5f0-487e-bca4-7b4fe0c9625c.wav,babble
40,turn-taking-projects/candor_wav/3b6c1e76-b603-4b55-adf8-a715c2d0e7ee.wav,-1
41,turn-taking-projects/candor_wav/2bf9891d-43a6-4f5e-b22b-4ae0bb504f22.wav,music
42,turn-taking-projects/candor_wav/06afb9c1-b367-45c7-a9ff-74c47a2cb61c.wav,-1
43,turn-taking-projects/candor_wav/5bde82b3-4a86-497b-a4c6-a26f3ce01e87.wav,-1
44,turn-taking-projects/candor_wav/a3fa2c2c-621c-4112-9520-44c2ced24271.wav,-1
45,turn-taking-projects/candor_wav/52983901-602c-484c-a43f-da8509a84e88.wav,-1
46,turn-taking-projects/candor_wav/9eb57b35-1f92-433d-9510-8816c2b58793.wav,-1
47,turn-taking-projects/candor_wav/ea7de670-b567-41f3-91fd-46447acc4f2b.wav,music
48,turn-taking-projects/candor_wav/219f3a85-89a1-4611-8d80-61f63910ec13.wav,music
49,turn-taking-projects/candor_wav/f741836c-f520-444e-a920-2c376d82f791.wav,-1
50,turn-taking-projects/candor_wav/cf23ba20-e65a-40cd-89a5-fb2fe3ae4e0d.wav,-1
51,turn-taking-projects/candor_wav/0bfaca02-9d10-4880-8065-749c1f8891cf.wav,-1
52,turn-taking-projects/candor_wav/caffe117-7ca9-473c-981a-9347375ad922.wav,-1
53,turn-taking-projects/candor_wav/abc1a4d5-6ca6-4785-a3fc-38bcfe551b58.wav,-1
54,turn-taking-projects/candor_wav/96f6db82-38b2-491f-a7d4-83a3a2c29c8f.wav,-1
